The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	      206876	    0.000005
       200	       97812	    0.000010
       300	       64057	    0.000016
       400	       41731	    0.000024
       500	       30650	    0.000033
       600	       23929	    0.000042
       700	       18529	    0.000054
       800	       16487	    0.000061
       900	       13675	    0.000073
      1000	       12206	    0.000082
      2000	        5096	    0.000196
      3000	        3127	    0.000320
      4000	        2288	    0.000437
      5000	        1777	    0.000563
      6000	        1471	    0.000680
      7000	        1235	    0.000810
      8000	        1042	    0.000961
      9000	         897	    0.001116
     10000	         815	    0.001227
     20000	         386	    0.002596
     30000	         248	    0.004039
     40000	         181	    0.005529
     50000	         142	    0.007069
     60000           115      0.008715
