The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	       74288	    0.000013
       200	       21431	    0.000047
       300	        9828	    0.000102
       400	        5897	    0.000170
       500	        3790	    0.000264
       600	        2809	    0.000356
       700	        1943	    0.000515
       800	        1516	    0.000660
       900	        1222	    0.000819
      1000	        1025	    0.000976
      2000	         254	    0.003940
      3000	         118	    0.008487
      4000	          66	    0.015282
      5000	          43	    0.023678
      6000	          30	    0.033570
      7000	          23	    0.044291
      8000	          18	    0.057083
      9000	          14	    0.072212
     10000	          12	    0.089193
     20000	           3	    0.361089
     30000	           2	    0.808585
     40000	           1	    1.441290
     50000	           1	    2.255169
     60000             1      3.307732
